name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,sample_index,predicted_class,confidence,entropy,variation_ratio,mean_prob,std_prob,mean_probs,std_probs
19,7.07,0.15,37.0,0.32,4,1997-2024,M-v,3Ek,(15883),,1997 CR29,2460800.5,77.38786,301.13665,127.11356,19.13018,0.2157726,0.00304769,47.1145942,E2024-H69,7,MPCLINUX,000A,2024-04-14,2435407.44973,323.3949116,36.9485557,57.2806327,22.4605208,1.0031018,Distant Object,,,,,,,10,1,0.99717003,0.019430041,0.0,0.4999999,0.0016528051,"[0.002829818520694971, 0.9971700310707092]","[0.0016528057167306542, 0.0016528044361621141]"
20,6.71,0.15,95.0,0.36,4,1994-2020,M-v,3Ek,(16684),,1994 JQ1,2460800.5,332.91845,254.12597,25.68694,3.74815,0.0455939,0.00339438,43.8492734,MPO691804,15,Pan,000A,2020-07-09,2468779.03755,290.3645559,41.850014,45.8485328,21.8790597,1.0034558,Distant Object,,,,,,,11,1,0.99800164,0.014417306,0.0,0.5,0.00092374894,"[0.0019984126556664705, 0.9980016350746155]","[0.0009237469639629126, 0.0009237509220838547]"
21,6.94,0.15,75.0,0.44,4,1994-2016,M-v,3Ek,(19255),,1994 VK8,2460800.5,287.1886,104.41558,72.35857,1.48581,0.0332433,0.00348716,43.0680265,MPO691853,7,Pan,000A,2016-02-04,2481680.71565,282.6392405,41.6363032,44.4997498,21.5102156,1.0035506,Distant Object,,,,,,,12,1,0.998139,0.013559522,0.0,0.5000001,0.0008408142,"[0.001861158641986549, 0.9981390237808228]","[0.0008408151334151626, 0.0008408133289776742]"
22,8.47,0.15,74.0,0.33,3,1996-2020,M-v,3Ek,(19299),,1996 SZ4,2460800.5,19.76298,30.93811,15.9272,4.73484,0.264203,0.00390229,39.9566783,MPO691854,14,Pan,000A,2020-01-30,2455735.92617,252.5713384,29.400004,50.5133526,18.5837866,1.003975,Distant Object,,,,,,,13,1,0.99899393,0.0079476135,0.0,0.49999988,0.00038474187,"[0.0010058083571493626, 0.9989939332008362]","[0.0003847415209747851, 0.00038474221946671605]"
23,4.81,0.15,293.0,0.98,2,1983-2024,M-v,3Ek,(19308),,1996 TO66,2460800.5,147.28864,240.90107,355.20738,27.40994,0.1132789,0.00343411,43.5104455,MPO887554,23,MPCLINUX,000A,2024-11-28,2417910.4735,287.00555,38.5816301,48.4392609,21.4760574,1.0034964,Distant Object,,,,,,,14,1,0.99687624,0.021139583,0.0,0.50000006,0.0016670213,"[0.003123889211565256, 0.9968762397766113]","[0.0016670187469571829, 0.001667023985646665]"
24,4.63,0.15,164.0,0.66,1,1991-2023,M-v,3Ek,(19521),Chaos,1998 WH24,2460800.5,350.0632,56.22722,49.89077,12.01563,0.110179,0.00314899,46.098707,MPO914366,22,MPCLINUX,000A,2023-09-28,2463956.14165,312.9919129,41.0195976,51.1778164,22.7695479,1.0032052,Distant Object,,,,,,,15,1,0.99706197,0.0200609,0.0,0.49999982,0.0016451636,"[0.00293770432472229, 0.9970619678497314]","[0.001645163050852716, 0.0016451640985906124]"
25,3.79,0.15,849.0,0.65,1,1954-2025,M-v,3Ek,(20000),Varuna,2000 WR106,2460800.5,114.90463,272.57494,97.2134,17.13953,0.0535638,0.00347877,43.1372631,MPO901406,30,MPCLINUX,000A,2025-03-06,2427769.58903,283.321075,40.8266674,45.4478588,21.5067494,1.0035421,Distant Object,,,,,,,16,1,0.9976466,0.016593695,0.0,0.50000006,0.0011990834,"[0.0023535003419965506, 0.9976465702056885]","[0.0011990838684141636, 0.001199082937091589]"
26,7.64,0.15,48.0,0.35,4,1995-2021,M-v,3Ek,(20108),,1995 QZ9,2460800.5,69.86115,145.60023,187.95491,19.5397,0.146266,0.00393583,39.7293883,MPO691869,7,Pan,000A,2021-12-01,2443050.32215,250.4193118,33.9183296,45.540447,19.439714,1.0040093,Distant Object,,,,,,,17,1,0.9983896,0.011965564,0.0,0.49999997,0.0008142699,"[0.0016103157540783286, 0.9983896017074585]","[0.0008142698789015412, 0.0008142698206938803]"
27,7.43,0.15,33.0,0.49,4,1996-2016,M-v,3Ek,(20161),,1996 TR66,2460800.5,62.92648,310.12427,343.07147,12.42448,0.3960254,0.00296028,48.0375176,MPO691870,8,Pan,000A,2016-08-12,2439542.99037,332.9437256,29.0134405,67.0615947,20.2517499,1.0030126,Distant Object,,,,,,,18,1,0.9974038,0.018048942,0.0,0.4999999,0.0015813811,"[0.002596018835902214, 0.9974038004875183]","[0.0015813823556527495, 0.0015813796781003475]"
29,4.61,0.15,329.0,0.7,2,1982-2025,M-v,3Ek,(24835),,1995 SM55,2460800.5,342.25785,70.08996,20.97434,27.01539,0.1112472,0.00360359,42.1352827,MPO914421,27,MPCLINUX,000A,2025-01-08,2465724.08818,273.5072659,37.4478505,46.8227149,20.8069095,1.0036696,Distant Object,,,,,,,19,1,0.9976292,0.016698763,0.0,0.50000006,0.0012210466,"[0.002370885806158185, 0.9976292252540588]","[0.0012210491113364697, 0.001221044105477631]"
30,7.5,0.15,111.0,0.92,3,1997-2024,M-v,3Ek,(24952),,1997 QJ4,2460800.5,351.44723,81.89388,346.83257,16.55965,0.2331416,0.00393616,39.7271708,MPO887625,18,MPCLINUX,000A,2024-12-03,2462973.40465,250.3983463,30.4651146,48.989227,18.7839001,1.0040096,Distant Object,,,,,,,20,1,0.9987169,0.009824947,0.0,0.4999999,0.00079561805,"[0.0012829534243792295, 0.9987168908119202]","[0.000795617001131177, 0.0007956191548146307]"
31,7.28,0.15,30.0,0.2,4,1998-2007,M-v,3Ek,(24978),,1998 HJ151,2460800.5,87.96513,121.41758,50.47838,2.39652,0.0482686,0.00348084,43.1201508,MPO691961,6,Pan,000A,2007-05-12,2435528.97334,283.152504,41.0388015,45.2015001,21.5098435,1.0035442,Distant Object,,,,,,,21,1,0.9982219,0.013035217,0.0,0.49999994,0.00091044174,"[0.001777981873601675, 0.9982218742370605]","[0.000910444650799036, 0.0009104388882406056]"
32,4.84,0.15,409.0,0.71,1,1980-2025,M-v,3Ek,(26181),,1996 GQ21,2460800.5,14.53987,355.9827,194.25114,13.364,0.5863446,0.00111226,92.2569195,E2025-N01,27,MPCLINUX,000A,2025-06-30,2447727.42861,886.1320077,38.1625729,146.3512661,30.2694958,1.0011298,Distant Object,,,,,,,22,1,0.6990831,0.61163914,0.16000000000000003,0.49999997,0.18323353,"[0.300916850566864, 0.6990830898284912]","[0.18323352932929993, 0.18323354423046112]"
33,5.77,0.15,312.0,0.93,1,1982-2024,M-v,3Ek,(26308),,1998 SM165,2460800.5,54.41945,132.02793,183.08141,13.48425,0.3705218,0.00296562,47.9798181,MPO887642,29,MPCLINUX,000A,2024-11-22,2442450.26733,332.3440406,30.2022495,65.7573867,20.6964207,1.003018,Distant Object,,,,,,,23,1,0.9973979,0.018084217,0.0,0.49999994,0.0011652617,"[0.0026019527576863766, 0.9973978996276855]","[0.001165259862318635, 0.0011652635876089334]"
34,4.89,0.15,448.0,0.77,1,1990-2025,M-v,3Ek,(26375),,1999 DE9,2460800.5,34.31509,159.15462,322.90867,7.61485,0.4191915,0.00239216,55.3701622,MPO914437,26,MPCLINUX,000A,2025-04-24,2446455.3263,412.015632,32.1594609,78.5808635,22.8202167,1.002433,Distant Object,,,,,,,24,1,0.9947607,0.032741267,0.0,0.5000001,0.003249839,"[0.005239575635641813, 0.9947606921195984]","[0.003249840112403035, 0.0032498380169272423]"
