name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy,variation_ratio,prob_mean_c0,prob_std_c0,prob_mean_c1,prob_std_c1
22,8.47,0.15,74.0,0.33,3,1996-2020,M-v,3Ek,(19299),,1996 SZ4,2460800.5,19.76298,30.93811,15.9272,4.73484,0.264203,0.00390229,39.9566783,MPO691854,14,Pan,000A,2020-01-30,2455735.92617,252.5713384,29.400004,50.5133526,18.5837866,1.003975,Distant Object,,,,,,,1,0.98987174,0.008604859,0.05658995,0.0,0.010128225,0.00860486,0.98987174,0.008604859
23,4.81,0.15,293.0,0.98,2,1983-2024,M-v,3Ek,(19308),,1996 TO66,2460800.5,147.28864,240.90107,355.20738,27.40994,0.1132789,0.00343411,43.5104455,MPO887554,23,MPCLINUX,000A,2024-11-28,2417910.4735,287.00555,38.5816301,48.4392609,21.4760574,1.0034964,Distant Object,,,,,,,1,0.98962975,0.008441323,0.057696093,0.0,0.010370264,0.008441329,0.98962975,0.008441323
24,4.63,0.15,164.0,0.66,1,1991-2023,M-v,3Ek,(19521),Chaos,1998 WH24,2460800.5,350.0632,56.22722,49.89077,12.01563,0.110179,0.00314899,46.098707,MPO914366,22,MPCLINUX,000A,2023-09-28,2463956.14165,312.9919129,41.0195976,51.1778164,22.7695479,1.0032052,Distant Object,,,,,,,1,0.9879778,0.009972218,0.065099694,0.0,0.012022173,0.009972217,0.9879778,0.009972218
25,3.79,0.15,849.0,0.65,1,1954-2025,M-v,3Ek,(20000),Varuna,2000 WR106,2460800.5,114.90463,272.57494,97.2134,17.13953,0.0535638,0.00347877,43.1372631,MPO901406,30,MPCLINUX,000A,2025-03-06,2427769.58903,283.321075,40.8266674,45.4478588,21.5067494,1.0035421,Distant Object,,,,,,,1,0.98963743,0.0073353476,0.057660732,0.0,0.010362489,0.0073353513,0.98963743,0.0073353476
26,7.64,0.15,48.0,0.35,4,1995-2021,M-v,3Ek,(20108),,1995 QZ9,2460800.5,69.86115,145.60023,187.95491,19.5397,0.146266,0.00393583,39.7293883,MPO691869,7,Pan,000A,2021-12-01,2443050.32215,250.4193118,33.9183296,45.540447,19.439714,1.0040093,Distant Object,,,,,,,1,0.9898784,0.0074031847,0.056559514,0.0,0.010121592,0.007403182,0.9898784,0.0074031847
27,7.43,0.15,33.0,0.49,4,1996-2016,M-v,3Ek,(20161),,1996 TR66,2460800.5,62.92648,310.12427,343.07147,12.42448,0.3960254,0.00296028,48.0375176,MPO691870,8,Pan,000A,2016-08-12,2439542.99037,332.9437256,29.0134405,67.0615947,20.2517499,1.0030126,Distant Object,,,,,,,1,0.988126,0.010851158,0.064445615,0.0,0.011874039,0.01085115,0.988126,0.010851158
29,4.61,0.15,329.0,0.7,2,1982-2025,M-v,3Ek,(24835),,1995 SM55,2460800.5,342.25785,70.08996,20.97434,27.01539,0.1112472,0.00360359,42.1352827,MPO914421,27,MPCLINUX,000A,2025-01-08,2465724.08818,273.5072659,37.4478505,46.8227149,20.8069095,1.0036696,Distant Object,,,,,,,1,0.98991114,0.008104149,0.05640988,0.0,0.0100889765,0.008104148,0.98991114,0.008104149
30,7.5,0.15,111.0,0.92,3,1997-2024,M-v,3Ek,(24952),,1997 QJ4,2460800.5,351.44723,81.89388,346.83257,16.55965,0.2331416,0.00393616,39.7271708,MPO887625,18,MPCLINUX,000A,2024-12-03,2462973.40465,250.3983463,30.4651146,48.989227,18.7839001,1.0040096,Distant Object,,,,,,,1,0.9908524,0.006616653,0.052046627,0.0,0.009147536,0.0066166506,0.9908524,0.006616653
31,7.28,0.15,30.0,0.2,4,1998-2007,M-v,3Ek,(24978),,1998 HJ151,2460800.5,87.96513,121.41758,50.47838,2.39652,0.0482686,0.00348084,43.1201508,MPO691961,6,Pan,000A,2007-05-12,2435528.97334,283.152504,41.0388015,45.2015001,21.5098435,1.0035442,Distant Object,,,,,,,1,0.9901166,0.008770176,0.05546514,0.0,0.009883422,0.008770181,0.9901166,0.008770176
32,4.84,0.15,409.0,0.71,1,1980-2025,M-v,3Ek,(26181),,1996 GQ21,2460800.5,14.53987,355.9827,194.25114,13.364,0.5863446,0.00111226,92.2569195,E2025-N01,27,MPCLINUX,000A,2025-06-30,2447727.42861,886.1320077,38.1625729,146.3512661,30.2694958,1.0011298,Distant Object,,,,,,,1,0.52851623,0.29636276,0.69152,0.0,0.47148377,0.29636276,0.52851623,0.29636276
33,5.77,0.15,312.0,0.93,1,1982-2024,M-v,3Ek,(26308),,1998 SM165,2460800.5,54.41945,132.02793,183.08141,13.48425,0.3705218,0.00296562,47.9798181,MPO887642,29,MPCLINUX,000A,2024-11-22,2442450.26733,332.3440406,30.2022495,65.7573867,20.6964207,1.003018,Distant Object,,,,,,,1,0.9863617,0.011872097,0.072119586,0.0,0.013638279,0.011872092,0.9863617,0.011872097
34,4.89,0.15,448.0,0.77,1,1990-2025,M-v,3Ek,(26375),,1999 DE9,2460800.5,34.31509,159.15462,322.90867,7.61485,0.4191915,0.00239216,55.3701622,MPO914437,26,MPCLINUX,000A,2025-04-24,2446455.3263,412.015632,32.1594609,78.5808635,22.8202167,1.002433,Distant Object,,,,,,,1,0.9804252,0.018828359,0.09637969,0.0,0.0195748,0.018828359,0.9804252,0.018828359
35,3.47,0.15,190.0,0.48,3,1982-2022,M-v,3Ek,(28978),Ixion,2001 KX76,2460800.5,293.55069,300.58238,71.09913,19.67473,0.2449509,0.00398909,39.3749838,E2024-C06,23,MPCLINUX,000A,2022-06-02,2477458.63738,247.0760116,29.7300461,49.0199215,18.5062238,1.0040638,Distant Object,,,,,,,1,0.99151057,0.006461785,0.04893884,0.0,0.008489436,0.006461786,0.99151057,0.006461785
36,8.8,0.15,237.0,0.64,1,1997-2016,M-v,3Ek,(29981),,1999 TD10,2460800.5,9.362,173.05856,184.56049,5.96199,0.8747511,0.00100521,98.6958643,MPO692055,15,Pan,000A,2016-01-04,2451486.93056,980.5018827,12.3615484,185.0301802,11.5874133,1.0010209,Distant Object,,,,,,,0,0.52707845,0.31904998,0.69168,0.0,0.52707845,0.31904998,0.47292152,0.31904998
39,8.66,0.15,217.0,0.57,2,1995-2020,M-v,3Ek,(32929),,1995 QY9,2460800.5,26.36235,26.23159,342.08775,4.83342,0.2676883,0.00389846,39.9828566,MPO692111,19,Pan,000A,2020-01-19,2454038.14878,252.8195937,29.2799137,50.6857995,18.558902,1.0039711,Distant Object,,,,,,,1,0.9906194,0.0065660193,0.053135417,0.0,0.009380575,0.0065660137,0.9906194,0.0065660193
40,6.42,0.15,148.0,0.96,2,1997-2024,M-v,3Ek,(33001),,1997 CU29,2460800.5,254.42826,265.50913,350.24625,1.45371,0.0345692,0.00342738,43.5673404,MPO887733,18,MPCLINUX,000A,2024-12-31,2491603.68035,287.568673,42.0612523,45.0734285,21.7576381,1.0034896,Distant Object,,,,,,,1,0.9859489,0.014305407,0.073880285,0.0,0.0140510015,0.0143054,0.9859489,0.014305407
41,6.93,0.15,214.0,0.58,2,1998-2024,M-v,3Ek,(33128),,1998 BU48,2460800.5,88.99385,282.51338,132.69663,14.23808,0.3856793,0.00513217,33.2865622,E2024-B91,21,MPCLINUX,000A,2024-01-21,2443459.86946,192.045182,20.4486242,46.1245002,14.1676176,1.0052344,Distant Object,,,,,,,1,0.99287325,0.0053073936,0.042335134,0.0,0.0071267253,0.0053073936,0.99287325,0.0053073936
42,6.42,0.15,215.0,0.8,1,1998-2025,M-v,3Ek,(33340),,1998 VG44,2460800.5,16.39294,324.42008,127.95325,3.03577,0.2575725,0.00396281,39.54887,MPO901556,23,MPCLINUX,000A,2025-02-23,2456663.79363,248.7145078,29.3621687,49.7355713,18.4625279,1.0040369,Distant Object,,,,,,,1,0.9896366,0.008205689,0.057665143,0.0,0.010363494,0.008205688,0.9896366,0.008205689
43,5.61,0.15,468.0,0.68,2,1998-2025,M-v,3Ek,(35671),,1998 SN165,2460800.5,306.61616,259.36041,192.06387,4.59595,0.0471843,0.00418614,38.1294204,E2025-N20,25,MPCLINUX,000A,2025-07-02,2473553.14327,235.4454519,36.3303104,39.9285304,19.0222653,1.0042654,Distant Object,,,,,,,1,0.99089545,0.006979616,0.051845424,0.0,0.009104642,0.0069796187,0.99089545,0.006979616
