Name,a,e,i,predicted_class,mean_prob,std_prob,entropy
,207.8421446,0.7884931,10.63523,0,0.50000024,0.00019867791,0.00057257374
,227.3067221,0.8061542,22.72327,0,0.5000002,1.291387e-05,4.9172115e-05
,137.3464385,0.7230343,40.89155,0,0.5000002,0.043983296,0.13158794
,196.4449065,0.7981814,16.79727,0,0.5000002,0.00014181848,0.00074600306
,189.5193509,0.8198555,13.11063,0,0.5000002,0.00061750354,0.0015673499
,110.2776382,0.6639487,26.37454,0,0.5000002,0.21036583,0.5957366
,120.1141927,0.6944233,19.32207,0,0.5000002,0.11725266,0.40889215
,176.878489,0.8161876,23.63254,0,0.5000002,0.00096936966,0.003966478
,120.8434946,0.6948525,21.76502,0,0.5000002,0.13271329,0.38984236
,182.5687756,0.952104,125.31171,0,0.5000001,0.019172594,0.04190878
,122.683712,0.6927472,15.52273,0,0.5000001,0.14025778,0.36510146
,199.4484454,0.8232598,11.96916,0,0.5000001,0.00017010682,0.0007172615
,199.9308854,0.8955836,6.63698,0,0.5000001,0.0004495491,0.0014277828
,122.1791654,0.6720296,31.65818,0,0.5000001,0.1322811,0.35521144
,114.6563228,0.8060323,12.33214,0,0.5000001,0.21959911,0.6032718
,247.5113904,0.8855706,17.15259,0,0.5000001,1.717304e-06,8.199035e-06
,186.5313163,0.9209437,53.41848,0,0.5000001,0.0006241476,0.0016208477
,123.8751169,0.6930957,8.88537,0,0.5000001,0.13464707,0.36273077
,205.2310315,0.8317014,12.77665,0,0.5000001,7.485828e-05,0.00032083064
,137.1127584,0.7307381,8.2696,0,0.5000001,0.06168492,0.17364874
,190.9803509,0.782845,37.02085,0,0.5000001,0.00074162945,0.0020799858
,106.136129,0.7174762,21.11358,0,0.5000001,0.2369822,0.66255426
,248.9592785,0.8589583,13.21195,0,0.5000001,1.1187994e-06,7.1317904e-06
,208.6121884,0.8959059,5.42683,0,0.5000001,0.00071378035,0.0014262311
,114.0872307,0.653163,3.69357,0,0.5000001,0.19877094,0.59268755
,132.6420859,0.704982,28.18298,0,0.5000001,0.07206861,0.19133836
,124.6779236,0.6974397,25.88077,0,0.50000006,0.11955531,0.30899215
,109.5662021,0.6770065,15.42819,0,0.50000006,0.18444039,0.5989333
,171.5871905,0.8065541,23.37871,0,0.50000006,0.0015939467,0.0070087607
,107.7598825,0.6540534,30.5378,0,0.50000006,0.17504679,0.6071009
,261.0344654,0.9559999,175.97659,0,0.50000006,7.612113e-05,0.00031515516
,179.4782157,0.8035331,16.95583,0,0.50000006,0.0024198915,0.0062027415
,202.2797227,0.8882141,42.09742,0,0.50000006,0.00076335785,0.0012760159
,104.6249288,0.6538166,26.76292,0,0.50000006,0.20199485,0.6660367
,220.1434972,0.8819367,26.11968,0,0.50000006,1.6204891e-05,6.536234e-05
,201.6139077,0.8248347,14.19782,0,0.50000006,0.00016201551,0.00052268116
,177.5644185,0.9697215,99.55545,0,0.50000006,0.026090015,0.04462429
,171.9243865,0.7822323,34.99874,0,0.50000006,0.0015067463,0.0058814636
,180.7645866,0.805997,26.06461,0,0.50000006,0.005317012,0.0062000183
,133.0109956,0.7461732,28.51895,0,0.50000006,0.087983936,0.22742988
,123.1676926,0.6811193,28.48808,0,0.50000006,0.106943816,0.30495328
,146.4192536,0.6896984,48.27069,0,0.50000006,0.015488237,0.04685701
,142.5174143,0.6725917,44.02579,0,0.50000006,0.04588672,0.11055664
,109.970916,0.6481962,26.7787,0,0.50000006,0.17573982,0.5759593
,109.7608336,0.7002659,16.7112,0,0.50000006,0.20505774,0.62165624
,135.4034498,0.6975969,35.8189,0,0.50000006,0.04968292,0.16967866
,109.999845,0.6445028,40.24271,0,0.50000006,0.21542048,0.56894714
,109.9115692,0.6366508,4.84197,0,0.50000006,0.21210557,0.6339735
,149.5396309,0.7771071,12.97822,0,0.50000006,0.029429222,0.07216204
,233.2263743,0.865384,6.03144,0,0.50000006,1.2996588e-05,4.932855e-05
,141.8953068,0.9641162,57.93511,0,0.50000006,0.029810693,0.08872963
,141.5475767,0.7273235,22.02731,0,0.50000006,0.043056086,0.11958889
,114.215739,0.8110638,0.96546,0,0.50000006,0.20704848,0.63850564
,134.2948467,0.8498108,31.49174,0,0.50000006,0.048123986,0.16128825
,194.9889101,0.8860319,14.44788,0,0.50000006,0.0002846762,0.0010821322
,125.9406008,0.8077562,4.40478,0,0.50000006,0.13140066,0.39436308
,257.9472154,0.8481887,21.51861,0,0.50000006,4.1979223e-07,2.3807036e-06
,213.5467607,0.8314537,14.91069,0,0.50000006,3.7316615e-05,0.00019000607
,279.3220312,0.9933583,152.01696,0,0.50000006,1.7565042e-05,4.200868e-05
,201.8014629,0.6281152,163.33238,0,0.50000006,0.0328357,0.028503817
,119.7650222,0.7054716,14.91796,0,0.50000006,0.16870555,0.46032822
,110.0494682,0.4520951,18.71545,0,0.50000006,0.20714301,0.59421283
,144.6631161,0.6738068,32.63933,0,0.50000006,0.023567911,0.0568843
,245.4634821,0.7316711,11.00882,0,0.50000006,1.4808679e-06,8.45815e-06
,248.3968736,0.8352853,15.68166,0,0.50000006,2.7712451e-06,1.1828515e-05
,251.6113596,0.9876947,143.49436,0,0.50000006,2.7725284e-05,0.00010672441
Alicanto,349.5648898,0.8645243,25.49375,0,0.5,6.558099e-12,1.1074848e-10
Leleakuhonua,1482.891634,0.9563363,11.67677,0,0.5,0.0,-0.0
Sedna,551.9180231,0.861824,11.92676,0,0.5,6.2946525e-20,8.6554034e-19
,211.745316,0.838519,30.8146,0,0.5,2.2766231e-05,0.00012243053
,636.8525121,0.967264,20.05795,0,0.5,5.293956000000001e-23,3.5161573000000005e-22
,102.5781973,0.6972678,25.50587,0,0.5,0.21969575,0.67959553
,881.1288726,0.972497,19.44647,0,0.5,0.0,6.3106490000000005e-31
,302.7234165,0.9687393,140.80774,0,0.5,6.1378095e-08,3.2023638e-07
,379.4740717,0.9709039,67.93798,0,0.5,2.4248527e-11,1.336833e-10
,160.3369911,0.7857164,4.50749,0,0.5,0.006692984,0.029832458
,147.8763148,0.722525,33.58979,0,0.5,0.034190677,0.067964315
,156.896377,0.7574014,15.51677,0,0.5,0.016507782,0.037854124
,576.3681383,0.9382255,18.56932,0,0.5,5.600986e-18,2.870025e-17
,264.2656942,0.9365729,84.80009,0,0.5,1.449426e-06,3.5271576e-06
,103.078411,0.6262213,26.05137,0,0.5,0.22865057,0.691058
,104.8295898,0.6266198,25.45023,0,0.5,0.22216135,0.6514081
,155.7802417,0.7618675,14.11058,0,0.5,0.014905393,0.037978817
,178.2701324,0.8901989,26.22446,0,0.5,0.0005931329,0.0032038698
,100.6608154,0.6278894,27.05668,0,0.5,0.20911627,0.6900728
,925.8550909,0.9843313,78.01298,0,0.5,0.0,5.5083396999999996e-33
,113.1892296,0.6860346,18.16906,0,0.5,0.17096363,0.54524505
