H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag
6.02,0.15,51.0,0.18,4,2011-2023,M-v,3Ek,(534074),,2014 QZ441,2460800.5,253.80068,170.98553,335.25011,6.55081,0.0801616,0.00355638,42.5073767,MPO780489,8,MPCLINUX,000A,2023-10-14,2490662.80633,277.1382407,39.0999174,45.914836,21.1171147,1.0036214,Distant Object,,,,,,
7.34,0.15,111.0,0.63,3,2010-2021,M-v,3Ek,(534161),,2014 RQ63,2460800.5,352.7811,336.58816,117.62291,9.66006,0.2001262,0.00394932,39.63885,MPO701568,9,Pan,000A,2021-11-05,2462628.39355,249.5637883,31.7060776,47.5716224,19.0256472,1.0040231,Distant Object,,,,,,
13.19,0.15,121.0,0.79,1,2013-2024,M-v,3Ek,(534251),,2014 SW223,2460800.5,173.43333,289.76196,22.50954,10.7225,0.150046,0.03637915,9.0205774,MPO891826,6,MPCLINUX,000A,2024-12-31,2456033.11076,27.0926512,7.6670758,10.374079,4.408745,1.038325,Distant Object,,,,,,
7.19,0.15,75.0,0.2,4,2010-2021,M-v,3Ek,(534314),,2014 SJ349,2460800.5,3.03828,297.27621,123.90292,8.91404,0.1712758,0.00353931,42.6438802,MPO701571,8,Pan,000A,2021-01-11,2459942.05907,278.4742686,35.3400155,49.9477449,20.6964525,1.0036039,Distant Object,,,,,,
7.88,0.15,145.0,0.42,2,2010-2023,M-v,3Ek,(534315),,2014 SK349,2460800.5,19.17264,316.6703,59.90724,9.37868,0.2950765,0.00392016,39.8352138,MPO780490,10,MPCLINUX,000A,2023-11-10,2455909.64517,251.4205248,28.0807783,51.5896493,18.1833781,1.0039933,Distant Object,,,,,,
6.06,0.15,115.0,0.98,2,2010-2024,M-v,3Ek,(534405),,2014 TW85,2460800.5,48.08794,262.99001,106.46627,0.94368,0.020606,0.00346429,43.25738,MPO891827,12,MPCLINUX,000A,2024-11-28,2446919.1017,284.5052714,42.3660184,44.1487416,21.6195063,1.0035273,Distant Object,,,,,,
5.55,0.15,106.0,0.33,3,2010-2021,M-v,3Ek,(534625),,2014 UQ224,2460800.5,207.01408,218.56939,16.72349,1.9465,0.0436856,0.00329081,44.7645738,E2024-D45,9,MPCLINUX,000A,2021-11-05,2507289.47533,299.5033476,42.8090065,46.7201411,22.3395718,1.00335,Distant Object,,,,,,
6.66,0.15,115.0,0.62,2,2003-2020,M-v,3Ek,(534626),,2014 UT224,2460800.5,15.9459,329.97875,81.81047,3.87594,0.272281,0.00292328,48.442026,MPO701577,10,Pan,000A,2020-12-09,2455345.55337,337.1579834,35.2521827,61.6318693,22.4253411,1.0029748,Distant Object,,,,,,
6.21,0.15,86.0,0.18,5,2010-2020,M-v,3Ek,(534627),,2014 UV224,2460800.5,343.30745,221.84176,249.98519,3.9327,0.5326085,0.00158596,72.8238745,MPO701577,8,Pan,000A,2020-12-10,2471326.10061,621.45641,34.0372599,111.6104891,26.0828969,1.0016117,Distant Object,,,,,,
8.89,0.15,83.0,0.23,3,2010-2018,M-v,3Ek,(534631),,2014 UX229,2460800.5,17.10034,3.88356,15.23825,15.95355,0.3407978,0.00389283,40.0214449,MPO701577,8,Pan,000A,2018-01-13,2456407.68763,253.1856843,26.3822245,53.6606653,17.6866143,1.0039653,Distant Object,,,,,,
7.56,0.15,104.0,0.59,2,2010-2023,M-v,3Ek,(535017),,2014 WY508,2460800.5,3.36939,170.77556,343.60902,21.22472,0.7121454,0.00098703,99.9036573,E2023-BF5,10,MPCLINUX,000A,2023-01-22,2457386.731,998.5552076,28.7577273,171.0495873,24.6187053,1.0010025,Distant Object,,,,,,
6.08,0.15,133.0,0.88,2,2010-2022,M-v,3Ek,(535018),,2014 WA509,2460800.5,65.41594,339.99203,120.1266,2.99827,0.0585843,0.00336941,44.0656677,MPO701584,10,Pan,000A,2022-02-24,2441385.78521,292.5166106,41.4841114,46.647224,21.9572145,1.0034303,Distant Object,,,,,,
7.25,0.15,71.0,0.2,3,2010-2023,M-v,3Ek,(535019),,2014 WE509,2460800.5,41.91813,4.16812,125.37298,13.87944,0.092629,0.00448333,36.4252316,MPO745323,11,MPCLINUX,000A,2023-04-16,2451450.66171,219.8383636,33.0511988,39.7992644,18.0563492,1.0045696,Distant Object,,,,,,
5.81,0.15,115.0,0.92,2,2010-2024,M-v,3Ek,(535020),,2014 WG509,2460800.5,111.7605,184.69425,129.81529,21.37732,0.0783438,0.00351142,42.8694015,MPO891828,13,MPCLINUX,000A,2024-12-27,2428972.5966,280.686245,39.5108497,46.2279533,21.3031399,1.0035754,Distant Object,,,,,,
6.06,0.15,125.0,0.88,3,2012-2025,M-v,3Ek,(535021),,2014 WL509,2460800.5,290.86572,46.17975,184.24752,15.13431,0.1276401,0.0036798,41.551461,MPO917500,10,MPCLINUX,000A,2025-03-24,2479588.01019,267.8424742,36.2478284,46.8550936,20.4372524,1.0037475,Distant Object,,,,,,
6.25,0.15,111.0,1.04,2,2011-2024,M-v,3Ek,(535022),,2014 WN509,2460800.5,306.90631,309.87504,276.55943,7.09976,0.0513237,0.00358126,42.3102329,E2024-U66,12,MPCLINUX,000A,2024-04-09,2475626.17017,275.21248,40.1387152,44.4817506,21.0993913,1.0036468,Distant Object,,,,,,
6.25,0.15,129.0,0.91,2,2010-2025,M-v,3Ek,(535023),,2014 WO509,2460800.5,13.60304,48.63091,108.95973,3.75216,0.0932183,0.00337715,43.9983328,MPO917500,11,MPCLINUX,000A,2025-03-31,2456772.47596,291.8463933,39.896883,48.0997826,21.8080013,1.0034382,Distant Object,,,,,,
7.26,0.15,161.0,0.89,3,2010-2024,M-v,3Ek,(535024),,2014 WR509,2460800.5,334.30126,65.04415,51.82134,26.36246,0.349629,0.0039377,39.7167976,MPO891828,12,MPCLINUX,000A,2024-12-05,2467326.83263,250.3002801,25.8306534,53.6029418,17.4308994,1.0040112,Distant Object,,,,,,
7.23,0.15,87.0,0.16,3,2010-2021,M-v,3Ek,(535025),,2014 WT509,2460800.5,17.05468,227.03077,182.31964,12.25586,0.2599339,0.00296399,47.9974203,MPO701584,9,Pan,000A,2021-11-05,2455046.36525,332.5269464,35.5212637,60.4735769,22.3772221,1.0030163,Distant Object,,,,,,
6.74,0.15,86.0,0.17,3,2010-2022,M-v,3El,(535026),,2014 WV509,2460800.5,20.92655,199.05737,205.55545,25.35166,0.1817018,0.00305023,47.088419,MPO731855,9,MPCLINUX,000A,2022-12-26,2453939.78595,323.1254489,38.5323685,55.6444695,22.7668846,1.0031044,Distant Object,,,,,,
5.85,0.15,139.0,0.95,3,2011-2025,M-v,3Ek,(535027),,2014 WY509,2460800.5,289.66535,315.51518,298.79139,11.47023,0.1705999,0.00337323,44.0324038,MPO917500,12,MPCLINUX,000A,2025-03-30,2481651.51684,292.1854546,36.5204801,51.5443275,21.3754352,1.0034342,Distant Object,,,,,,
5.95,0.15,105.0,1.03,2,2010-2025,M-v,3Ek,(535028),,2014 WA510,2460800.5,89.8127,333.1078,104.48906,2.15454,0.0424192,0.00321814,45.4359251,MPO905289,12,MPCLINUX,000A,2025-02-24,2432891.88933,306.2661946,43.5085695,47.3632807,22.6770841,1.0032758,Distant Object,,,,,,
6.7,0.15,83.0,0.17,3,2010-2022,M-v,3El,(535029),,2014 WG510,2460800.5,72.81653,179.2818,167.44468,17.48289,0.2144782,0.00397001,39.5009937,MPO723245,9,MPCLINUX,000A,2022-09-26,2442458.80479,248.2630185,31.0288917,47.9730957,18.8419563,1.0040443,Distant Object,,,,,,
6.67,0.15,109.0,1.1,2,2010-2025,M-v,3Ek,(535030),,2014 WJ510,2460800.5,6.34812,183.49237,332.50271,24.33006,0.4920329,0.00173939,68.47603,MPO917500,13,MPCLINUX,000A,2025-03-29,2457150.68686,566.6408239,34.7835704,102.1684896,25.9491157,1.0017679,Distant Object,,,,,,
6.48,0.15,106.0,1.01,4,2011-2025,M-v,3Ek,(535031),,2014 WL510,2460800.5,351.05601,320.57351,219.81447,4.67456,0.4394267,0.00193964,63.6778081,MPO917500,13,MPCLINUX,000A,2025-03-28,2465411.7549,508.1385673,35.696079,91.6595372,25.6909446,1.0019718,Distant Object,,,,,,
7.39,0.15,71.0,0.15,4,2010-2021,M-v,3Ek,(535032),,2014 WP510,2460800.5,48.1792,301.70254,73.94109,8.19628,0.181793,0.00392463,39.8049637,MPO701584,9,Pan,000A,2021-11-05,2448524.29351,251.1341933,32.5686999,47.0412275,19.2447308,1.0039979,Distant Object,,,,,,
7.24,0.15,118.0,0.57,2,2010-2023,M-v,3Ek,(535167),,2014 XT40,2460800.5,22.18589,175.00941,223.7615,7.31859,0.1973241,0.00393187,39.7560778,MPO780493,11,MPCLINUX,000A,2023-10-22,2455157.8198,250.671695,31.9112455,47.6009101,19.1040517,1.0040053,Distant Object,,,,,,
7.17,0.15,68.0,0.31,4,2010-2023,M-v,3Ek,(535168),,2014 XU40,2460800.5,334.92064,226.88245,258.3479,4.74753,0.1806839,0.00393174,39.7569062,MPO917501,10,MPCLINUX,000A,2023-11-14,2467179.25728,250.67953,32.5734733,46.9403391,19.2294878,1.0040051,Distant Object,,,,,,
7.31,0.15,97.0,0.31,2,2012-2025,M-v,3Ek,(535169),,2014 XX40,2460800.5,4.27287,324.80885,202.26996,19.70495,0.5990757,0.00137147,80.2314646,MPO917501,9,MPCLINUX,000A,2025-03-30,2457684.80071,718.6494214,32.1667438,128.2961854,25.7185292,1.0013934,Distant Object,,,,,,
5.47,0.15,112.0,0.99,2,2010-2025,M-v,3Ek,(535228),,2014 YE50,2460800.5,45.02682,287.73046,121.17487,26.80558,0.3826268,0.00212665,59.887806,MPO905290,12,MPCLINUX,000A,2025-02-05,2439627.35037,463.4550346,36.9731264,82.8024856,25.5600177,1.0021624,Distant Object,,,,,,
7.23,0.15,64.0,0.18,4,2011-2023,M-v,3Ek,(535229),,2014 YG50,2460800.5,49.31457,109.19904,303.79815,19.03072,0.2005699,0.00394848,39.6444625,E2023-D68,9,MPCLINUX,000A,2023-02-20,2448310.73959,249.6167941,31.6929766,47.5959484,19.0248169,1.0040223,Distant Object,,,,,,
6.22,0.15,87.0,0.32,3,2010-2025,M-v,3Ek,(535230),,2014 YH50,2460800.5,18.14844,13.07493,101.99933,40.64916,0.323876,0.00228909,57.0199616,MPO917501,12,MPCLINUX,000A,2025-04-27,2452871.95478,430.5666428,38.5525645,75.4873587,25.5194075,1.0023279,Distant Object,,,,,,
6.83,0.15,121.0,0.82,2,2010-2022,M-v,3El,(535231),,2014 YJ50,2460800.5,57.42672,48.80615,12.31097,7.28486,0.2015967,0.00394577,39.6626576,MPO731857,11,MPCLINUX,000A,2022-12-02,2446246.246,249.7886588,31.6667967,47.6585185,19.0253592,1.0040195,Distant Object,,,,,,
6.85,0.15,99.0,0.99,2,2011-2025,M-v,3Ek,(535466),,2015 AK281,2460800.5,19.57941,77.00643,65.80303,16.93599,0.2189097,0.00351099,42.8729481,MPO905291,10,MPCLINUX,000A,2025-03-03,2455223.75045,280.7210776,33.4876439,52.2582523,20.409207,1.003575,Distant Object,,,,,,
9.91,0.15,98.0,0.96,2,2012-2025,M-v,3Ek,(535985),,2015 BF515,2460800.5,62.04156,105.16241,322.28089,28.29762,0.1687227,0.01069462,20.4029304,MPO905294,9,MPCLINUX,000A,2025-02-22,2454999.29565,92.1592267,16.9604929,23.8453679,9.9110565,1.0109698,Distant Object,,,,,,
6.85,0.15,84.0,0.23,4,2012-2024,M-v,3Ek,(535986),,2015 BN518,2460800.5,345.71308,202.97641,312.23049,22.49783,0.2253214,0.00309612,46.6220405,E2024-B79,8,MPCLINUX,000A,2024-01-19,2465414.9892,318.336851,36.1170971,57.1269839,22.127526,1.0031512,Distant Object,,,,,,
6.85,0.15,75.0,0.19,5,2010-2022,M-v,3Ek,(535987),,2015 BO518,2460800.5,328.25464,234.19936,340.81752,7.6728,0.2320421,0.00310445,46.538572,MPO701602,10,Pan,000A,2022-02-24,2471026.42449,317.4823452,35.739664,57.33748,22.0163854,1.0031597,Distant Object,,,,,,
7.5,0.15,115.0,0.86,2,2002-2018,M-v,3Ek,(535988),,2015 BU518,2460800.5,21.9357,131.51954,61.28656,11.41193,0.2717447,0.00343495,43.5032854,MPO701602,12,Pan,000A,2018-05-19,2454414.37522,286.9347083,31.6814982,55.3250726,20.1453887,1.0034973,Distant Object,,,,,,
5.71,0.15,95.0,0.29,3,2010-2025,M-v,3Ek,(535989),,2015 BV518,2460800.5,113.8991,290.11658,98.27476,1.78923,0.0362579,0.00326867,44.9664926,MPO891833,13,MPCLINUX,000A,2025-01-06,2425954.05198,301.532078,43.336102,46.5968832,22.453689,1.0033274,Distant Object,,,,,,
6.69,0.15,145.0,1.01,2,2010-2025,M-v,3Ek,(535990),,2015 BW518,2460800.5,12.30697,98.47598,35.65207,9.25357,0.1568093,0.00325702,45.0736107,MPO905294,12,MPCLINUX,000A,2025-02-23,2457021.87857,302.6101732,38.0056494,52.141572,21.9826443,1.0033155,Distant Object,,,,,,
6.0,0.15,73.0,0.18,5,2010-2022,M-v,3Ek,(535991),,2015 BD519,2460800.5,323.2605,94.03503,120.51569,10.35349,0.3436676,0.00239461,55.3323906,MPO701603,10,Pan,000A,2022-03-02,2476143.14595,411.5941098,36.3164407,74.3483405,24.3986124,1.0024355,Distant Object,,,,,,
7.71,0.15,123.0,0.92,3,2012-2025,M-v,3Ek,(535992),,2015 BF519,2460800.5,353.74328,266.04516,290.263,19.1846,0.3209341,0.00401969,39.1748968,MPO905294,11,MPCLINUX,000A,2025-03-02,2462357.05289,245.1951026,26.6023366,51.747457,17.5699667,1.0040951,Distant Object,,,,,,
6.42,0.15,151.0,0.66,3,2010-2024,M-v,3Ek,(535993),,2015 BG519,2460800.5,218.57934,357.02339,330.64576,34.3585,0.0282575,0.00406459,38.8858419,E2024-H69,11,MPCLINUX,000A,2024-04-14,2495594.60998,242.4863292,37.7870252,39.9846586,19.427396,1.004141,Distant Object,,,,,,
6.3,0.15,129.0,0.53,4,2010-2024,M-v,3Ek,(535994),,2015 BH519,2460800.5,339.65146,240.75102,7.3079,27.86411,0.3208149,0.00252276,53.4423485,MPO844544,12,MPCLINUX,000A,2024-06-01,2468866.67513,390.6864078,36.2972468,70.5874502,23.9709722,1.0025662,Distant Object,,,,,,
6.47,0.15,106.0,0.96,3,2011-2025,M-v,3Ek,(536287),,2015 CL62,2460800.5,334.1576,206.24297,335.69516,19.01317,0.1398947,0.00365809,41.7157264,MPO917505,12,MPCLINUX,000A,2025-03-21,2467865.12548,269.4323354,35.8799174,47.5515354,20.4496638,1.0037253,Distant Object,,,,,,
5.88,0.15,99.0,0.23,4,2011-2024,M-v,3Ek,(536919),,2015 FL345,2460800.5,297.6932,178.61045,116.75859,5.36331,0.1243244,0.00319304,45.6737021,MPO844547,11,MPCLINUX,000A,2024-06-06,2480314.06091,308.673483,39.9953465,51.3520577,22.483872,1.0032502,Distant Object,,,,,,
6.26,0.15,118.0,0.79,2,2010-2025,M-v,3Ek,(536920),,2015 FM345,2460800.5,83.15509,41.21128,103.32597,17.15688,0.0321731,0.00356885,42.4082682,E2025-N01,14,MPCLINUX,000A,2025-06-30,2437499.92558,276.1695592,41.0438627,43.7726737,21.1821855,1.0036341,Distant Object,,,,,,
7.15,0.15,57.0,0.35,3,2011-2023,M-v,3Ek,(536921),,2015 FO345,2460800.5,40.06678,30.68947,152.801,20.13999,0.1286717,0.00389698,39.9929882,E2024-V28,8,Pan,000A,2023-06-15,2450518.79403,252.915696,34.8470224,45.138954,19.665424,1.0039696,Distant Object,,,,,,
6.83,0.15,134.0,1.11,2,2011-2025,M-v,3Ek,(536922),,2015 FP345,2460800.5,38.58363,33.08995,130.09611,10.0368,0.2164975,0.00343357,43.5149545,MPO917507,13,MPCLINUX,000A,2025-03-26,2449563.09502,287.0501649,34.0940756,52.9358334,20.7376789,1.0034959,Distant Object,,,,,,
12.04,0.15,107.0,0.71,1,2011-2019,M-v,3Ek,(538495),,2016 EB195,2460800.5,62.87446,91.19055,59.29821,20.86854,0.4595541,0.01734756,14.778958,MPO701650,7,Pan,000A,2019-04-09,2457176.08957,56.8153547,7.9872273,21.5706887,5.8288951,1.0179162,Distant Object,,,,,,
5.84,0.15,139.0,0.53,3,2000-2024,M-v,3Ek,(538690),,2016 FP59,2460800.5,96.53988,169.32128,269.72496,4.21168,0.1640029,0.00310803,46.5028112,E2024-H69,11,MPCLINUX,000A,2024-04-14,2429738.76255,317.1164796,38.8762153,54.1294071,22.6260137,1.0031634,Distant Object,,,,,,
6.12,0.15,93.0,0.25,4,2011-2022,M-v,3Ek,(538691),,2016 FW59,2460800.5,237.18984,34.35604,290.02447,6.29787,0.0688916,0.00346254,43.2719062,MPO701653,9,Pan,000A,2022-03-02,2496269.13827,284.6485924,40.2908353,46.2529771,21.5332677,1.0035255,Distant Object,,,,,,
14.56,0.15,99.0,0.36,0,2003-2020,M-v,3Ek,(540205),,2017 RS17,2460800.5,163.68427,295.99911,135.72109,42.69772,0.4489938,0.06425629,6.1734168,MPO701682,5,Pan,000A,2020-02-02,2458253.13072,15.3386946,3.4015909,8.9452427,2.4644421,1.0697414,Distant Object,,,,,,
5.57,0.15,36.0,0.22,3,2005-2018,M-v,3Ek,(541132),Leleakuhonua,2015 TG387,2460800.5,359.66516,118.06699,301.10159,11.67677,0.9563363,1.726e-05,1482.891634,MPO917529,5,Veres,000A,2018-10-20,2480267.94186,57103.6833732,64.7485354,2901.0347326,63.3349551,1.0000175,Distant Object,,,,,,
5.62,0.15,122.0,0.63,2,2003-2024,M-v,3Ek,(542258),,2013 AP183,2460800.5,47.8932,217.62681,193.09801,3.34188,0.3737957,0.00221339,58.3127584,E2024-CA7,14,MPCLINUX,000A,2024-02-09,2439161.68014,445.2924979,36.5157001,80.1098167,25.0825559,1.0022508,Distant Object,,,,,,
8.52,0.15,97.0,0.16,3,2010-2021,M-v,3Ek,(542889),,2013 MY11,2460800.5,13.72136,195.48317,99.74691,14.50821,0.586342,0.00262003,52.1113131,MPO701733,11,Pan,000A,2021-08-05,2455563.33969,376.182012,21.5562616,82.6663646,17.0978015,1.0026654,Distant Object,,,,,,
4.36,0.15,379.0,0.74,3,2005-2025,M-v,3Ek,(543354),,2014 AN55,2460800.5,321.82422,306.78652,283.67266,9.39427,0.3850131,0.00234096,56.1745902,MPO917539,18,MPCLINUX,000A,2025-04-03,2477108.66353,421.0269241,34.5466371,77.8025433,23.9237725,1.0023808,Distant Object,,,,,,
5.78,0.15,154.0,0.9,2,2002-2025,M-v,3Ek,(543375),,2014 BX64,2460800.5,97.04667,82.10381,323.0715,11.13522,0.0496462,0.00362275,41.9865414,MPO905335,17,MPCLINUX,000A,2025-02-22,2434012.00799,272.0602873,39.9020692,44.0710136,20.9415276,1.0036892,Distant Object,,,,,,
5.96,0.15,84.0,0.3,5,2014-2025,M-v,3Ek,(543376),,2014 BE70,2460800.5,359.76568,287.18508,239.50643,25.45023,0.6266198,0.00091829,104.8295898,MPO891879,10,MPCLINUX,000A,2025-01-03,2461055.69495,1073.3116161,39.1412932,170.5178864,31.8340013,1.0009326,Distant Object,,,,,,
9.48,0.15,216.0,0.84,4,2013-2025,M-v,3Ek,(543377),,2014 BF70,2460800.5,359.77064,280.0874,307.26201,11.35031,0.8696127,0.00118016,88.6831577,MPO917539,13,MPCLINUX,000A,2025-03-24,2460994.85641,835.1446872,11.5631575,165.8031579,10.809313,1.0011988,Distant Object,,,,,,
6.98,0.15,207.0,0.88,2,2004-2025,M-v,3Ek,(543435),,2014 GC54,2460800.5,25.86736,130.80861,67.32107,20.21082,0.2548874,0.00403643,39.0664653,E2025-N01,16,MPCLINUX,000A,2025-06-30,2454391.97755,244.1778006,29.1089155,49.0240151,18.2642057,1.0041122,Distant Object,,,,,,
4.95,0.15,376.0,0.77,1,2002-2025,M-v,3Ek,(543454),,2014 HZ199,2460800.5,74.81094,82.5828,57.06042,27.94806,0.1565868,0.00349845,42.9752769,E2025-N01,17,MPCLINUX,000A,2025-06-30,2439416.17002,281.7267112,36.2459158,49.704638,20.9607739,1.0035622,Distant Object,,,,,,
6.4,0.15,98.0,0.18,3,2010-2023,M-v,3Ek,(543733),,2014 OZ393,2460800.5,21.61195,185.48851,211.1712,16.65337,0.1919293,0.00309448,46.6385118,MPO780543,13,MPCLINUX,000A,2023-10-17,2453816.28658,318.5055658,37.6872149,55.5898087,22.4602478,1.0031496,Distant Object,,,,,,
7.78,0.15,87.0,0.18,3,2010-2021,M-v,3Ek,(543734),,2014 OL394,2460800.5,11.08794,172.63712,208.4337,4.57392,0.2744163,0.00356236,42.4597379,MPO701749,9,Pan,000A,2021-11-11,2457687.92105,276.6724803,30.8080937,54.1113821,19.6311684,1.0036275,Distant Object,,,,,,
6.05,0.15,143.0,0.97,4,2010-2024,M-v,3Ek,(543735),,2014 OS394,2460800.5,358.18921,251.58246,194.25875,14.11058,0.7618675,0.00050692,155.7802417,MPO891881,11,MPCLINUX,000A,2024-12-07,2464372.7825,1944.3236554,37.0963384,274.464145,32.6794165,1.0005146,Distant Object,,,,,,
6.78,0.15,110.0,0.86,2,2013-2025,M-v,3Ek,(544430),,2014 UW224,2460800.5,21.72088,188.94206,257.03298,2.94613,0.4099676,0.00235077,56.0182438,MPO905343,11,MPCLINUX,000A,2025-03-03,2451560.32473,419.2704301,33.0525788,78.9839088,23.3015326,1.0023908,Distant Object,,,,,,
6.2,0.15,83.0,0.33,3,2014-2025,M-v,3Ek,(544977),,2014 WZ535,2460800.5,244.17802,43.74553,221.3762,19.69151,0.0717101,0.00377212,40.8707444,MPO917550,9,MPCLINUX,000A,2025-03-31,2491505.40708,261.2876132,37.9398992,43.8015896,20.3302866,1.0038419,Distant Object,,,,,,
7.18,0.15,133.0,0.76,1,2002-2023,M-v,3Ek,(545293),,2011 FX62,2460800.5,21.99598,232.69041,288.22354,18.30087,0.573875,0.00299314,47.685341,E2024-V16,14,Pan,000A,2023-06-17,2453451.60421,329.2890878,20.3199159,75.0507661,15.9905038,1.0030461,Distant Object,['2005 CC79'],,,,,
5.79,0.15,162.0,0.65,2,2011-2025,M-v,3Ek,(545361),,2011 GZ61,2460800.5,35.2411,254.64327,283.8285,8.64934,0.1111831,0.00355492,42.5190149,E2025-M81,13,MPCORBFIT,000A,2025-06-22,2450887.11284,277.252066,37.791619,47.2464108,20.9967042,1.0036199,Distant Object,,,,,,
6.23,0.15,152.0,0.88,4,2010-2025,M-v,3Ek,(546974),,2010 BP153,2460800.5,354.67151,196.52053,354.67232,10.54405,0.5590909,0.00137906,79.936879,MPO905358,14,MPCLINUX,000A,2025-02-24,2464664.52466,714.6950628,35.2448974,124.6288606,27.4749994,1.0014012,Distant Object,,,,,,
7.76,0.15,168.0,0.93,2,2010-2024,M-v,3Ek,(547375),,2010 PC88,2460800.5,128.45817,143.51821,131.67431,18.01582,0.0471636,0.00745131,25.9605732,MPO891903,14,MPCLINUX,000A,2024-12-03,2443560.80089,132.2730647,24.7361791,27.1849673,12.9514132,1.0076177,Distant Object,,,,,,
7.71,0.15,130.0,0.65,3,2010-2023,M-v,3Ek,(547616),,2010 TR195,2460800.5,346.86207,235.23584,199.51281,17.5709,0.269127,0.00392063,39.8320252,MPO780563,12,MPCLINUX,000A,2023-10-17,2464151.49985,251.3903381,29.1121518,50.5518986,18.4735089,1.0039938,Distant Object,,,,,,
5.93,0.15,118.0,1.02,2,2010-2024,M-v,3Ek,(547617),,2010 TT195,2460800.5,287.32342,91.2995,58.32049,15.53909,0.0751333,0.00340629,43.7469727,E2024-SF9,13,MPCLINUX,000A,2024-09-28,2482137.05687,289.3490146,40.4601183,47.0338271,21.7500102,1.003468,Distant Object,,,,,,
5.75,0.15,166.0,0.71,2,2010-2021,M-v,3Ek,(547893),,2010 WN75,2460800.5,343.79592,311.63701,161.83547,28.17945,0.1015479,0.00373886,41.1127884,MPO701827,10,Pan,000A,2021-01-13,2465134.53231,263.6121356,36.9378711,45.2877057,20.3444172,1.0038079,Distant Object,,,,,,
8.01,0.15,132.0,0.79,2,2010-2025,M-v,3Ek,(548141),,2010 CD270,2460800.5,349.47829,80.22397,123.57097,19.55376,0.0889635,0.00687767,27.3847276,E2025-M29,15,MPCORBFIT,000A,2025-06-18,2462330.35198,143.3054271,24.9484864,29.8209688,13.5839955,1.0070271,Distant Object,,,,,,
6.33,0.15,123.0,0.94,2,2010-2022,M-v,3Ek,(548504),,2010 NF146,2460800.5,31.32238,95.99727,65.20633,2.82679,0.001989,0.00346269,43.2706748,MPO701839,11,Pan,000A,2022-03-02,2451754.58652,284.636442,43.1846094,43.3567402,21.6352518,1.0035256,Distant Object,,,,,,
9.48,0.15,319.0,0.88,1,2005-2024,M-v,3Ek,(550310),,2012 DD86,2460800.5,36.4043,356.4326,174.6479,12.51711,0.3364296,0.0088803,23.0949743,MPO891931,16,MPCLINUX,000A,2024-05-06,2456701.05516,110.988051,15.3251413,30.8648073,10.2404863,1.0090919,Distant Object,,,,,,
7.0,0.15,149.0,0.92,3,2011-2024,M-v,3Ek,(550564),,2012 PU45,2460800.5,0.66363,174.36297,154.84664,23.62288,0.2867649,0.003417,43.6555524,E2024-TF3,12,MPCLINUX,000A,2024-10-06,2460606.28578,288.4424873,31.1366723,56.1744325,20.0327885,1.003479,Distant Object,,,,,,
6.22,0.15,135.0,1.05,3,2013-2024,M-v,3Ek,(552033),,2013 RO98,2460800.5,343.58396,100.2478,292.83919,18.81775,0.3931017,0.00221156,58.3450645,E2025-L60,9,MPCLINUX,000A,2024-09-01,2468223.53414,445.6625967,35.4095205,81.2806085,24.6645316,1.0022489,Distant Object,,,,,,
9.09,0.15,138.0,0.81,2,2010-2021,M-v,3Ek,(552474),,2010 AW153,2460800.5,13.18518,9.80635,131.71656,28.62749,0.537007,0.00344178,43.4457437,MPO701914,10,Pan,000A,2021-04-06,2456969.49207,286.3656047,20.1150752,66.7764122,15.4585057,1.0035043,Distant Object,,,,,,
5.19,0.15,263.0,0.72,1,2010-2025,M-v,3Ek,(552555),,2010 ER65,2460800.5,7.10347,323.52331,212.61783,21.29056,0.5907649,0.0010218,97.6244583,MPO917581,15,MPCLINUX,000A,2025-04-02,2453848.58182,964.5793398,39.951355,155.2975616,31.7766066,1.0010378,Distant Object,,,,,,
8.54,0.15,128.0,0.75,3,2010-2022,M-v,3El,(552678),,2010 JG210,2460800.5,349.67029,170.74855,131.41916,26.98846,0.4572983,0.00554769,31.6029675,MPO713424,13,MPCLINUX,000A,2022-08-30,2462662.5142,177.660875,17.1509842,46.0549508,12.49705,1.0056606,Distant Object,,,,,,
7.18,0.15,112.0,0.93,3,2010-2021,M-v,3Ek,(552679),,2010 JH210,2460800.5,328.30648,164.8252,129.12373,12.24829,0.2367393,0.0040167,39.1943002,MPO701917,10,Pan,000A,2021-06-13,2468690.93742,245.3772936,29.915469,48.4731314,18.4988181,1.004092,Distant Object,,,,,,
5.82,0.15,106.0,0.9,1,2010-2025,M-v,3Ek,(553137),,2011 BM170,2460800.5,20.87668,97.69762,24.82742,46.82007,0.3367052,0.00234409,56.1246287,MPO917586,11,MPCORBFIT,000A,2025-04-26,2451894.06655,420.4653591,37.2271744,75.022083,24.8808788,1.002384,Distant Object,,,,,,
